year,level_1,level_2,level_3,level_4,value
2015,Total,Total,Ang Mo Kio- Total,Ang Mo Kio Town Centre,5020
2015,Total,Total,Ang Mo Kio- Total,Cheng San,29770
2015,Total,Total,Ang Mo Kio- Total,Chong Boon,27900
2015,Total,Total,Ang Mo Kio- Total,Kebun Bahru,23910
2015,Total,Total,Ang Mo Kio- Total,Sembawang Hills,6890
2015,Total,Total,Ang Mo Kio- Total,Shangri-La,18510
2015,Total,Total,Ang Mo Kio- Total,Tagore,8350
2015,Total,Total,Ang Mo Kio- Total,Townsville,23770
2015,Total,Total,Ang Mo Kio- Total,Yio Chu Kang,30
2015,Total,Total,Ang Mo Kio- Total,Yio Chu Kang East,4080
2015,Total,Total,Ang Mo Kio- Total,Yio Chu Kang West,26550
2015,Total,Total,Bedok- Total,Bayshore,7480
2015,Total,Total,Bedok- Total,Bedok North,85930
2015,Total,Total,Bedok- Total,Bedok Reservoir,25400
2015,Total,Total,Bedok- Total,Bedok South,51190
2015,Total,Total,Bedok- Total,Frankel,33570
2015,Total,Total,Bedok- Total,Kaki Bukit,40820
2015,Total,Total,Bedok- Total,Kembangan,38440
2015,Total,Total,Bedok- Total,Siglap,6930
2015,Total,Total,Bishan- Total,Bishan East,28820
2015,Total,Total,Bishan- Total,Marymount,31540
2015,Total,Total,Bishan- Total,Upper Thomson,30340
2015,Total,Total,Boon Lay- Total,Liu Fang,10
2015,Total,Total,Boon Lay- Total,Samulun,10
2015,Total,Total,Boon Lay- Total,Tukang,10
2015,Total,Total,Bukit Batok- Total,Bukit Batok Central,26060
2015,Total,Total,Bukit Batok- Total,Bukit Batok East,14570
2015,Total,Total,Bukit Batok- Total,Bukit Batok South,13940
2015,Total,Total,Bukit Batok- Total,Bukit Batok West,15190
2015,Total,Total,Bukit Batok- Total,Gombak,9820
2015,Total,Total,Bukit Batok- Total,Guilin,13130
2015,Total,Total,Bukit Batok- Total,Hillview,18220
2015,Total,Total,Bukit Batok- Total,Hong Kah North,28340
2015,Total,Total,Bukit Merah- Total,Alexandra Hill,15650
2015,Total,Total,Bukit Merah- Total,Alexandra North,1000
2015,Total,Total,Bukit Merah- Total,Bukit Ho Swee,16290
2015,Total,Total,Bukit Merah- Total,Bukit Merah,1190
2015,Total,Total,Bukit Merah- Total,City Terminals,40
2015,Total,Total,Bukit Merah- Total,Depot Road,5200
2015,Total,Total,Bukit Merah- Total,Everton Park,9010
2015,Total,Total,Bukit Merah- Total,Henderson Hill,12870
2015,Total,Total,Bukit Merah- Total,Kampong Tiong Bahru,10460
2015,Total,Total,Bukit Merah- Total,Maritime Square,2560
2015,Total,Total,Bukit Merah- Total,Redhill,12210
2015,Total,Total,Bukit Merah- Total,Singapore General Hospital,10
2015,Total,Total,Bukit Merah- Total,Telok Blangah Drive,16000
2015,Total,Total,Bukit Merah- Total,Telok Blangah Rise,13820
2015,Total,Total,Bukit Merah- Total,Telok Blangah Way,10690
2015,Total,Total,Bukit Merah- Total,Tiong Bahru,12190
2015,Total,Total,Bukit Merah- Total,Tiong Bahru Station,16670
2015,Total,Total,Bukit Panjang- Total,Bangkit,23800
2015,Total,Total,Bukit Panjang- Total,Dairy Farm,5390
2015,Total,Total,Bukit Panjang- Total,Fajar,26770
2015,Total,Total,Bukit Panjang- Total,Jelebu,33470
2015,Total,Total,Bukit Panjang- Total,Nature Reserve,3870
2015,Total,Total,Bukit Panjang- Total,Saujana,25530
2015,Total,Total,Bukit Panjang- Total,Senja,20200
2015,Total,Total,Bukit Timah- Total,Anak Bukit,21990
2015,Total,Total,Bukit Timah- Total,Coronation Road,6170
2015,Total,Total,Bukit Timah- Total,Farrer Court,4680
2015,Total,Total,Bukit Timah- Total,Hillcrest,8810
2015,Total,Total,Bukit Timah- Total,Holland Road,10280
2015,Total,Total,Bukit Timah- Total,Leedon Park,6260
2015,Total,Total,Bukit Timah- Total,Swiss Club,5550
2015,Total,Total,Bukit Timah- Total,Ulu Pandan,10730
2015,Total,Total,Central Water Catchment- Total,Central Water Catchment,10
2015,Total,Total,Changi- Total,Changi Point,790
2015,Total,Total,Changi- Total,Changi West,1740
2015,Total,Total,Choa Chu Kang- Total,Choa Chu Kang Central,21400
2015,Total,Total,Choa Chu Kang- Total,Choa Chu Kang North,34380
2015,Total,Total,Choa Chu Kang- Total,Keat Hong,15660
2015,Total,Total,Choa Chu Kang- Total,Peng Siang,32130
2015,Total,Total,Choa Chu Kang- Total,Teck Whye,27040
2015,Total,Total,Choa Chu Kang- Total,Yew Tee,43710
2015,Total,Total,Clementi- Total,Clementi Central,13490
2015,Total,Total,Clementi- Total,Clementi North,28730
2015,Total,Total,Clementi- Total,Clementi West,16470
2015,Total,Total,Clementi- Total,Clementi Woods,16400
2015,Total,Total,Clementi- Total,Faber,4320
2015,Total,Total,Clementi- Total,Pandan,10
2015,Total,Total,Clementi- Total,Sunset Way,6290
2015,Total,Total,Clementi- Total,Toh Tuck,40
2015,Total,Total,Clementi- Total,West Coast,5890
2015,Total,Total,Downtown Core- Total,Anson,80
2015,Total,Total,Downtown Core- Total,Bugis,2330
2015,Total,Total,Downtown Core- Total,Cecil,160
2015,Total,Total,Downtown Core- Total,Central Subzone,480
2015,Total,Total,Downtown Core- Total,City Hall,60
2015,Total,Total,Downtown Core- Total,Marina Centre,20
2015,Total,Total,Downtown Core- Total,Raffles Place,60
2015,Total,Total,Downtown Core- Total,Tanjong Pagar,520
2015,Total,Total,Geylang- Total,Aljunied,41710
2015,Total,Total,Geylang- Total,Geylang East,33380
2015,Total,Total,Geylang- Total,Kallang Way,40
2015,Total,Total,Geylang- Total,Kampong Ubi,13210
2015,Total,Total,Geylang- Total,Macpherson,28630
2015,Total,Total,Hougang- Total,Defu Industrial Park,20
2015,Total,Total,Hougang- Total,Hougang Central,4830
2015,Total,Total,Hougang- Total,Hougang East,21940
2015,Total,Total,Hougang- Total,Hougang West,50120
2015,Total,Total,Hougang- Total,Kangkar,26080
2015,Total,Total,Hougang- Total,Kovan,25640
2015,Total,Total,Hougang- Total,Lorong Ah Soo,34180
2015,Total,Total,Hougang- Total,Tai Seng,14700
2015,Total,Total,Hougang- Total,Trafalgar,44800
2015,Total,Total,Jurong East- Total,International Business Park,10
2015,Total,Total,Jurong East- Total,Jurong Gateway,20
2015,Total,Total,Jurong East- Total,Jurong Port,10
2015,Total,Total,Jurong East- Total,Jurong River,10
2015,Total,Total,Jurong East- Total,Lakeside,1010
2015,Total,Total,Jurong East- Total,Penjuru Crescent,10
2015,Total,Total,Jurong East- Total,Teban Gardens,19080
2015,Total,Total,Jurong East- Total,Toh Guan,16510
2015,Total,Total,Jurong East- Total,Yuhua East,27460
2015,Total,Total,Jurong East- Total,Yuhua West,20870
2015,Total,Total,Jurong West- Total,Boon Lay Place,31100
2015,Total,Total,Jurong West- Total,Hong Kah,56870
2015,Total,Total,Jurong West- Total,Jurong West Central,68200
2015,Total,Total,Jurong West- Total,Kian Teck,50
2015,Total,Total,Jurong West- Total,Taman Jurong,36940
2015,Total,Total,Jurong West- Total,Wenya,8610
2015,Total,Total,Jurong West- Total,Yunnan,70890
2015,Total,Total,Kallang- Total,Bendemeer,33830
2015,Total,Total,Kallang- Total,Boon Keng,10970
2015,Total,Total,Kallang- Total,Crawford,9740
2015,Total,Total,Kallang- Total,Geylang Bahru,12870
2015,Total,Total,Kallang- Total,Kallang Bahru,30
2015,Total,Total,Kallang- Total,Kampong Bugis,890
2015,Total,Total,Kallang- Total,Kampong Java,11260
2015,Total,Total,Kallang- Total,Lavender,10320
2015,Total,Total,Kallang- Total,Tanjong Rhu,11310
2015,Total,Total,Lim Chu Kang- Total,Lim Chu Kang,90
2015,Total,Total,Mandai- Total,Mandai Estate,2120
2015,Total,Total,Marine Parade- Total,Katong,9620
2015,Total,Total,Marine Parade- Total,Marine Parade,28910
2015,Total,Total,Marine Parade- Total,Mountbatten,10210
2015,Total,Total,Museum- Total,Bras Basah,10
2015,Total,Total,Museum- Total,Dhoby Ghaut,210
2015,Total,Total,Museum- Total,Fort Canning,160
2015,Total,Total,Newton- Total,Cairnhill,3330
2015,Total,Total,Newton- Total,Goodwood Park,910
2015,Total,Total,Newton- Total,Istana Negara,40
2015,Total,Total,Newton- Total,Monk's Hill,980
2015,Total,Total,Newton- Total,Newton Circus,230
2015,Total,Total,Newton- Total,Orange Grove,1440
2015,Total,Total,North-Eastern Islands- Total,North-Eastern Islands,60
2015,Total,Total,Novena- Total,Balestier,32340
2015,Total,Total,Novena- Total,Dunearn,3900
2015,Total,Total,Novena- Total,Malcolm,2630
2015,Total,Total,Novena- Total,Moulmein,8470
2015,Total,Total,Novena- Total,Mount Pleasant,650
2015,Total,Total,Orchard- Total,Boulevard,400
2015,Total,Total,Orchard- Total,Somerset,130
2015,Total,Total,Orchard- Total,Tanglin,390
2015,Total,Total,Outram- Total,China Square,1590
2015,Total,Total,Outram- Total,Chinatown,11880
2015,Total,Total,Outram- Total,Pearl's Hill,8230
2015,Total,Total,Outram- Total,People's Park,390
2015,Total,Total,Pasir Ris- Total,Flora Drive,12950
2015,Total,Total,Pasir Ris- Total,Loyang East,2190
2015,Total,Total,Pasir Ris- Total,Loyang West,200
2015,Total,Total,Pasir Ris- Total,Pasir Ris Central,25730
2015,Total,Total,Pasir Ris- Total,Pasir Ris Drive,59480
2015,Total,Total,Pasir Ris- Total,Pasir Ris Park,2980
2015,Total,Total,Pasir Ris- Total,Pasir Ris Wafer Fab Park,20
2015,Total,Total,Pasir Ris- Total,Pasir Ris West,36330
2015,Total,Total,Paya Lebar- Total,Paya Lebar East,10
2015,Total,Total,Paya Lebar- Total,Paya Lebar North,20
2015,Total,Total,Pioneer- Total,Gul Basin,20
2015,Total,Total,Pioneer- Total,Gul Circle,30
2015,Total,Total,Pioneer- Total,Joo Koon,40
2015,Total,Total,Punggol- Total,Matilda,30440
2015,Total,Total,Punggol- Total,Northshore,280
2015,Total,Total,Punggol- Total,Punggol Field,43300
2015,Total,Total,Punggol- Total,Punggol Town Centre,7390
2015,Total,Total,Punggol- Total,Waterway East,28340
2015,Total,Total,Queenstown- Total,Commonwealth,8130
2015,Total,Total,Queenstown- Total,Dover,13200
2015,Total,Total,Queenstown- Total,Ghim Moh,11900
2015,Total,Total,Queenstown- Total,Holland Drive,14230
2015,Total,Total,Queenstown- Total,Kent Ridge,1080
2015,Total,Total,Queenstown- Total,Margaret Drive,10520
2015,Total,Total,Queenstown- Total,Mei Chin,16750
2015,Total,Total,Queenstown- Total,National University of S'pore,360
2015,Total,Total,Queenstown- Total,One North,620
2015,Total,Total,Queenstown- Total,Pasir Panjang 1,4010
2015,Total,Total,Queenstown- Total,Pasir Panjang 2,3520
2015,Total,Total,Queenstown- Total,Port,140
2015,Total,Total,Queenstown- Total,Queensway,280
2015,Total,Total,Queenstown- Total,Singapore Polytechnic,160
2015,Total,Total,Queenstown- Total,Tanglin Halt,13160
2015,Total,Total,River Valley- Total,Institution Hill,3380
2015,Total,Total,River Valley- Total,Leonie Hill,2450
2015,Total,Total,River Valley- Total,One Tree Hill,1840
2015,Total,Total,River Valley- Total,Oxley,1380
2015,Total,Total,River Valley- Total,Paterson,150
2015,Total,Total,Rochor- Total,Bencoolen,1460
2015,Total,Total,Rochor- Total,Farrer Park,3130
2015,Total,Total,Rochor- Total,Kampong Glam,170
2015,Total,Total,Rochor- Total,Little India,3850
2015,Total,Total,Rochor- Total,Mackenzie,110
2015,Total,Total,Rochor- Total,Mount Emily,1110
2015,Total,Total,Rochor- Total,Rochor Canal,10
2015,Total,Total,Rochor- Total,Selegie,270
2015,Total,Total,Rochor- Total,Sungei Road,2420
2015,Total,Total,Rochor- Total,Victoria,2060
2015,Total,Total,Seletar- Total,Seletar,260
2015,Total,Total,Seletar- Total,Seletar Aerospace Park,20
2015,Total,Total,Sembawang- Total,Admiralty,14410
2015,Total,Total,Sembawang- Total,Sembawang Central,29140
2015,Total,Total,Sembawang- Total,Sembawang East,90
2015,Total,Total,Sembawang- Total,Sembawang North,26860
2015,Total,Total,Sembawang- Total,Sembawang Springs,4290
2015,Total,Total,Sembawang- Total,Sembawang Straits,1700
2015,Total,Total,Sembawang- Total,Senoko North,20
2015,Total,Total,Sembawang- Total,Senoko South,20
2015,Total,Total,Sengkang- Total,Anchorvale,38040
2015,Total,Total,Sengkang- Total,Compassvale,18510
2015,Total,Total,Sengkang- Total,Fernvale,35590
2015,Total,Total,Sengkang- Total,Rivervale,59860
2015,Total,Total,Sengkang- Total,Sengkang Town Centre,54680
2015,Total,Total,Sengkang- Total,Sengkang West,10
2015,Total,Total,Serangoon- Total,Lorong Chuan,8390
2015,Total,Total,Serangoon- Total,Seletar Hills,13580
2015,Total,Total,Serangoon- Total,Serangoon Central,26480
2015,Total,Total,Serangoon- Total,Serangoon Garden,39180
2015,Total,Total,Serangoon- Total,Serangoon North,17490
2015,Total,Total,Serangoon- Total,Serangoon North Ind Estate,20
2015,Total,Total,Serangoon- Total,Upper Paya Lebar,15540
2015,Total,Total,Singapore River- Total,Boat Quay,180
2015,Total,Total,Singapore River- Total,Clarke Quay,130
2015,Total,Total,Singapore River- Total,Robertson Quay,2420
2015,Total,Total,Southern Islands- Total,Sentosa,1470
2015,Total,Total,Sungei Kadut- Total,Gali Batu,130
2015,Total,Total,Sungei Kadut- Total,Kranji,20
2015,Total,Total,Sungei Kadut- Total,Pang Sua,20
2015,Total,Total,Sungei Kadut- Total,Reservoir View,20
2015,Total,Total,Sungei Kadut- Total,Turf Club,660
2015,Total,Total,Tampines- Total,Simei,42710
2015,Total,Total,Tampines- Total,Tampines East,138500
2015,Total,Total,Tampines- Total,Tampines West,78110
2015,Total,Total,Tampines- Total,Xilin,1920
2015,Total,Total,Tanglin- Total,Chatsworth,5740
2015,Total,Total,Tanglin- Total,Nassim,8340
2015,Total,Total,Tanglin- Total,Ridout,1400
2015,Total,Total,Tanglin- Total,Tyersall,3520
2015,Total,Total,Tengah- Total,Tengah,10
2015,Total,Total,Toa Payoh- Total,Bidadari,10
2015,Total,Total,Toa Payoh- Total,Boon Teck,15110
2015,Total,Total,Toa Payoh- Total,Braddell,10760
2015,Total,Total,Toa Payoh- Total,Joo Seng,6720
2015,Total,Total,Toa Payoh- Total,Kim Keat,8610
2015,Total,Total,Toa Payoh- Total,Lorong 8 Toa Payoh,8220
2015,Total,Total,Toa Payoh- Total,Pei Chun,11780
2015,Total,Total,Toa Payoh- Total,Potong Pasir,12650
2015,Total,Total,Toa Payoh- Total,Sennett,4540
2015,Total,Total,Toa Payoh- Total,Toa Payoh Central,30740
2015,Total,Total,Toa Payoh- Total,Toa Payoh West,13360
2015,Total,Total,Toa Payoh- Total,Woodleigh,2440
2015,Total,Total,Tuas- Total,Tuas Bay,20
2015,Total,Total,Tuas- Total,Tuas North,20
2015,Total,Total,Tuas- Total,Tuas Promenade,10
2015,Total,Total,Tuas- Total,Tuas View,10
2015,Total,Total,Western Water Catchment- Total,Western Water Catchment,900
2015,Total,Total,Woodlands- Total,Greenwood Park,70
2015,Total,Total,Woodlands- Total,Midview,35510
2015,Total,Total,Woodlands- Total,North Coast,14610
2015,Total,Total,Woodlands- Total,Senoko West,20
2015,Total,Total,Woodlands- Total,Woodgrove,35850
2015,Total,Total,Woodlands- Total,Woodlands East,95510
2015,Total,Total,Woodlands- Total,Woodlands South,35840
2015,Total,Total,Woodlands- Total,Woodlands West,32890
2015,Total,Total,Yishun- Total,Khatib,10850
2015,Total,Total,Yishun- Total,Lower Seletar,2870
2015,Total,Total,Yishun- Total,Nee Soon,900
2015,Total,Total,Yishun- Total,Northland,30380
2015,Total,Total,Yishun- Total,Springleaf,3880
2015,Total,Total,Yishun- Total,Yishun Central,1490
2015,Total,Total,Yishun- Total,Yishun East,54880
2015,Total,Total,Yishun- Total,Yishun South,38840
2015,Total,Total,Yishun- Total,Yishun West,57890
2015,Total,Males,Ang Mo Kio- Total,Ang Mo Kio Town Centre,2370
2015,Total,Males,Ang Mo Kio- Total,Cheng San,14400
2015,Total,Males,Ang Mo Kio- Total,Chong Boon,13590
2015,Total,Males,Ang Mo Kio- Total,Kebun Bahru,11450
2015,Total,Males,Ang Mo Kio- Total,Sembawang Hills,3240
2015,Total,Males,Ang Mo Kio- Total,Shangri-La,9090
2015,Total,Males,Ang Mo Kio- Total,Tagore,3990
2015,Total,Males,Ang Mo Kio- Total,Townsville,11300
2015,Total,Males,Ang Mo Kio- Total,Yio Chu Kang East,2020
2015,Total,Males,Ang Mo Kio- Total,Yio Chu Kang West,12750
2015,Total,Males,Bedok- Total,Bayshore,3580
2015,Total,Males,Bedok- Total,Bedok North,41990
2015,Total,Males,Bedok- Total,Bedok Reservoir,12420
2015,Total,Males,Bedok- Total,Bedok South,25010
2015,Total,Males,Bedok- Total,Frankel,15920
2015,Total,Males,Bedok- Total,Kaki Bukit,20220
2015,Total,Males,Bedok- Total,Kembangan,18870
2015,Total,Males,Bedok- Total,Siglap,3210
2015,Total,Males,Bishan- Total,Bishan East,13760
2015,Total,Males,Bishan- Total,Marymount,15650
2015,Total,Males,Bishan- Total,Upper Thomson,14700
2015,Total,Males,Bukit Batok- Total,Bukit Batok Central,12780
2015,Total,Males,Bukit Batok- Total,Bukit Batok East,7280
2015,Total,Males,Bukit Batok- Total,Bukit Batok South,6860
2015,Total,Males,Bukit Batok- Total,Bukit Batok West,7460
2015,Total,Males,Bukit Batok- Total,Gombak,4840
2015,Total,Males,Bukit Batok- Total,Guilin,6390
2015,Total,Males,Bukit Batok- Total,Hillview,8790
2015,Total,Males,Bukit Batok- Total,Hong Kah North,14260
2015,Total,Males,Bukit Merah- Total,Alexandra Hill,7720
2015,Total,Males,Bukit Merah- Total,Alexandra North,450
2015,Total,Males,Bukit Merah- Total,Bukit Ho Swee,7980
2015,Total,Males,Bukit Merah- Total,Bukit Merah,570
2015,Total,Males,Bukit Merah- Total,Depot Road,2480
2015,Total,Males,Bukit Merah- Total,Everton Park,4270
2015,Total,Males,Bukit Merah- Total,Henderson Hill,6370
2015,Total,Males,Bukit Merah- Total,Kampong Tiong Bahru,5210
2015,Total,Males,Bukit Merah- Total,Maritime Square,1210
2015,Total,Males,Bukit Merah- Total,Redhill,5890
2015,Total,Males,Bukit Merah- Total,Telok Blangah Drive,7650
2015,Total,Males,Bukit Merah- Total,Telok Blangah Rise,6640
2015,Total,Males,Bukit Merah- Total,Telok Blangah Way,5350
2015,Total,Males,Bukit Merah- Total,Tiong Bahru,5700
2015,Total,Males,Bukit Merah- Total,Tiong Bahru Station,7930
2015,Total,Males,Bukit Panjang- Total,Bangkit,11900
2015,Total,Males,Bukit Panjang- Total,Dairy Farm,2620
2015,Total,Males,Bukit Panjang- Total,Fajar,13390
2015,Total,Males,Bukit Panjang- Total,Jelebu,16660
2015,Total,Males,Bukit Panjang- Total,Nature Reserve,1820
2015,Total,Males,Bukit Panjang- Total,Saujana,12710
2015,Total,Males,Bukit Panjang- Total,Senja,10060
2015,Total,Males,Bukit Timah- Total,Anak Bukit,10530
2015,Total,Males,Bukit Timah- Total,Coronation Road,2840
2015,Total,Males,Bukit Timah- Total,Farrer Court,2190
2015,Total,Males,Bukit Timah- Total,Hillcrest,3950
2015,Total,Males,Bukit Timah- Total,Holland Road,4550
2015,Total,Males,Bukit Timah- Total,Leedon Park,2880
2015,Total,Males,Bukit Timah- Total,Swiss Club,2580
2015,Total,Males,Bukit Timah- Total,Ulu Pandan,5140
2015,Total,Males,Changi- Total,Changi Point,420
2015,Total,Males,Changi- Total,Changi West,880
2015,Total,Males,Choa Chu Kang- Total,Choa Chu Kang Central,10600
2015,Total,Males,Choa Chu Kang- Total,Choa Chu Kang North,17000
2015,Total,Males,Choa Chu Kang- Total,Keat Hong,7860
2015,Total,Males,Choa Chu Kang- Total,Peng Siang,16150
2015,Total,Males,Choa Chu Kang- Total,Teck Whye,13590
2015,Total,Males,Choa Chu Kang- Total,Yew Tee,21790
2015,Total,Males,Clementi- Total,Clementi Central,6470
2015,Total,Males,Clementi- Total,Clementi North,13470
2015,Total,Males,Clementi- Total,Clementi West,8070
2015,Total,Males,Clementi- Total,Clementi Woods,7890
2015,Total,Males,Clementi- Total,Faber,2100
2015,Total,Males,Clementi- Total,Sunset Way,2920
2015,Total,Males,Clementi- Total,West Coast,2930
2015,Total,Males,Downtown Core- Total,Bugis,1110
2015,Total,Males,Downtown Core- Total,Cecil,90
2015,Total,Males,Downtown Core- Total,Central Subzone,230
2015,Total,Males,Downtown Core- Total,Tanjong Pagar,290
2015,Total,Males,Geylang- Total,Aljunied,20780
2015,Total,Males,Geylang- Total,Geylang East,16310
2015,Total,Males,Geylang- Total,Kampong Ubi,6660
2015,Total,Males,Geylang- Total,Macpherson,14320
2015,Total,Males,Hougang- Total,Hougang Central,2430
2015,Total,Males,Hougang- Total,Hougang East,10770
2015,Total,Males,Hougang- Total,Hougang West,24780
2015,Total,Males,Hougang- Total,Kangkar,12890
2015,Total,Males,Hougang- Total,Kovan,12470
2015,Total,Males,Hougang- Total,Lorong Ah Soo,16320
2015,Total,Males,Hougang- Total,Tai Seng,7130
2015,Total,Males,Hougang- Total,Trafalgar,22770
2015,Total,Males,Jurong East- Total,Lakeside,500
2015,Total,Males,Jurong East- Total,Teban Gardens,9570
2015,Total,Males,Jurong East- Total,Toh Guan,8240
2015,Total,Males,Jurong East- Total,Yuhua East,13510
2015,Total,Males,Jurong East- Total,Yuhua West,10420
2015,Total,Males,Jurong West- Total,Boon Lay Place,15950
2015,Total,Males,Jurong West- Total,Hong Kah,28380
2015,Total,Males,Jurong West- Total,Jurong West Central,34280
2015,Total,Males,Jurong West- Total,Taman Jurong,18510
2015,Total,Males,Jurong West- Total,Wenya,4400
2015,Total,Males,Jurong West- Total,Yunnan,36010
2015,Total,Males,Kallang- Total,Bendemeer,16550
2015,Total,Males,Kallang- Total,Boon Keng,5340
2015,Total,Males,Kallang- Total,Crawford,5380
2015,Total,Males,Kallang- Total,Geylang Bahru,6440
2015,Total,Males,Kallang- Total,Kampong Bugis,450
2015,Total,Males,Kallang- Total,Kampong Java,5540
2015,Total,Males,Kallang- Total,Lavender,5400
2015,Total,Males,Kallang- Total,Tanjong Rhu,5290
2015,Total,Males,Mandai- Total,Mandai Estate,1000
2015,Total,Males,Marine Parade- Total,Katong,4630
2015,Total,Males,Marine Parade- Total,Marine Parade,13510
2015,Total,Males,Marine Parade- Total,Mountbatten,4830
2015,Total,Males,Museum- Total,Dhoby Ghaut,100
2015,Total,Males,Museum- Total,Fort Canning,80
2015,Total,Males,Newton- Total,Cairnhill,1560
2015,Total,Males,Newton- Total,Goodwood Park,420
2015,Total,Males,Newton- Total,Monk's Hill,480
2015,Total,Males,Newton- Total,Newton Circus,110
2015,Total,Males,Newton- Total,Orange Grove,650
2015,Total,Males,Novena- Total,Balestier,15700
2015,Total,Males,Novena- Total,Dunearn,1790
2015,Total,Males,Novena- Total,Malcolm,1190
2015,Total,Males,Novena- Total,Moulmein,4160
2015,Total,Males,Novena- Total,Mount Pleasant,320
2015,Total,Males,Orchard- Total,Boulevard,200
2015,Total,Males,Orchard- Total,Somerset,60
2015,Total,Males,Orchard- Total,Tanglin,170
2015,Total,Males,Outram- Total,China Square,760
2015,Total,Males,Outram- Total,Chinatown,5720
2015,Total,Males,Outram- Total,Pearl's Hill,4430
2015,Total,Males,Outram- Total,People's Park,190
2015,Total,Males,Pasir Ris- Total,Flora Drive,6350
2015,Total,Males,Pasir Ris- Total,Loyang East,1070
2015,Total,Males,Pasir Ris- Total,Loyang West,100
2015,Total,Males,Pasir Ris- Total,Pasir Ris Central,12700
2015,Total,Males,Pasir Ris- Total,Pasir Ris Drive,29520
2015,Total,Males,Pasir Ris- Total,Pasir Ris Park,1460
2015,Total,Males,Pasir Ris- Total,Pasir Ris West,17950
2015,Total,Males,Punggol- Total,Matilda,14960
2015,Total,Males,Punggol- Total,Northshore,150
2015,Total,Males,Punggol- Total,Punggol Field,21310
2015,Total,Males,Punggol- Total,Punggol Town Centre,3600
2015,Total,Males,Punggol- Total,Waterway East,14090
2015,Total,Males,Queenstown- Total,Commonwealth,3830
2015,Total,Males,Queenstown- Total,Dover,6350
2015,Total,Males,Queenstown- Total,Ghim Moh,5590
2015,Total,Males,Queenstown- Total,Holland Drive,6510
2015,Total,Males,Queenstown- Total,Kent Ridge,520
2015,Total,Males,Queenstown- Total,Margaret Drive,4980
2015,Total,Males,Queenstown- Total,Mei Chin,7930
2015,Total,Males,Queenstown- Total,National University of S'pore,100
2015,Total,Males,Queenstown- Total,One North,300
2015,Total,Males,Queenstown- Total,Pasir Panjang 1,1920
2015,Total,Males,Queenstown- Total,Pasir Panjang 2,1710
2015,Total,Males,Queenstown- Total,Port,70
2015,Total,Males,Queenstown- Total,Queensway,140
2015,Total,Males,Queenstown- Total,Singapore Polytechnic,80
2015,Total,Males,Queenstown- Total,Tanglin Halt,6200
2015,Total,Males,River Valley- Total,Institution Hill,1600
2015,Total,Males,River Valley- Total,Leonie Hill,1120
2015,Total,Males,River Valley- Total,One Tree Hill,840
2015,Total,Males,River Valley- Total,Oxley,640
2015,Total,Males,River Valley- Total,Paterson,70
2015,Total,Males,Rochor- Total,Bencoolen,700
2015,Total,Males,Rochor- Total,Farrer Park,1630
2015,Total,Males,Rochor- Total,Kampong Glam,120
2015,Total,Males,Rochor- Total,Little India,2030
2015,Total,Males,Rochor- Total,Mackenzie,60
2015,Total,Males,Rochor- Total,Mount Emily,530
2015,Total,Males,Rochor- Total,Selegie,150
2015,Total,Males,Rochor- Total,Sungei Road,1230
2015,Total,Males,Rochor- Total,Victoria,980
2015,Total,Males,Seletar- Total,Seletar,130
2015,Total,Males,Sembawang- Total,Admiralty,7120
2015,Total,Males,Sembawang- Total,Sembawang Central,14340
2015,Total,Males,Sembawang- Total,Sembawang North,13390
2015,Total,Males,Sembawang- Total,Sembawang Springs,2090
2015,Total,Males,Sembawang- Total,Sembawang Straits,890
2015,Total,Males,Sengkang- Total,Anchorvale,18680
2015,Total,Males,Sengkang- Total,Compassvale,9040
2015,Total,Males,Sengkang- Total,Fernvale,17560
2015,Total,Males,Sengkang- Total,Rivervale,29590
2015,Total,Males,Sengkang- Total,Sengkang Town Centre,26920
2015,Total,Males,Serangoon- Total,Lorong Chuan,4010
2015,Total,Males,Serangoon- Total,Seletar Hills,6710
2015,Total,Males,Serangoon- Total,Serangoon Central,12660
2015,Total,Males,Serangoon- Total,Serangoon Garden,18750
2015,Total,Males,Serangoon- Total,Serangoon North,8660
2015,Total,Males,Serangoon- Total,Upper Paya Lebar,7580
2015,Total,Males,Singapore River- Total,Boat Quay,100
2015,Total,Males,Singapore River- Total,Clarke Quay,80
2015,Total,Males,Singapore River- Total,Robertson Quay,1130
2015,Total,Males,Southern Islands- Total,Sentosa,720
2015,Total,Males,Sungei Kadut- Total,Gali Batu,50
2015,Total,Males,Sungei Kadut- Total,Turf Club,330
2015,Total,Males,Tampines- Total,Simei,20720
2015,Total,Males,Tampines- Total,Tampines East,67900
2015,Total,Males,Tampines- Total,Tampines West,38610
2015,Total,Males,Tampines- Total,Xilin,970
2015,Total,Males,Tanglin- Total,Chatsworth,2640
2015,Total,Males,Tanglin- Total,Nassim,3820
2015,Total,Males,Tanglin- Total,Ridout,650
2015,Total,Males,Tanglin- Total,Tyersall,1660
2015,Total,Males,Toa Payoh- Total,Boon Teck,7340
2015,Total,Males,Toa Payoh- Total,Braddell,5160
2015,Total,Males,Toa Payoh- Total,Joo Seng,3360
2015,Total,Males,Toa Payoh- Total,Kim Keat,4180
2015,Total,Males,Toa Payoh- Total,Lorong 8 Toa Payoh,3970
2015,Total,Males,Toa Payoh- Total,Pei Chun,5670
2015,Total,Males,Toa Payoh- Total,Potong Pasir,6260
