year,sex,school_type,student_sec,teacher_sec
1996,MF,Auto,24990,879
1996,F,Auto,14079,639
1996,MF,Independent,11272,652
1996,F,Independent,4802,457
1996,MF,Specialised Independant,0,0
1996,F,Specialised Independant,0,0
1996,MF,Specialised,0,0
1996,F,Specialised,0,0
1997,MF,Govt,120069,6272
1997,F,Govt,54541,3995
1997,MF,Aided,30136,1596
1997,F,Aided,14901,1119
1997,MF,Auto,25070,861
1997,F,Auto,14186,638
1997,MF,Independent,11477,700
1997,F,Independent,4920,488
1997,MF,Specialised Independant,0,0
1997,F,Specialised Independant,0,0
1997,MF,Specialised,0,0
1997,F,Specialised,0,0
1998,MF,Govt,112661,5692
1998,F,Govt,51317,4142
1998,MF,Aided,29134,1463
1998,F,Aided,14350,1058
1998,MF,Auto,24493,931
1998,F,Auto,13872,684
1998,MF,Independent,11608,743
1998,F,Independent,5016,513
1998,MF,Specialised Independant,0,0
1998,F,Specialised Independant,0,0
1998,MF,Specialised,0,0
1998,F,Specialised,0,0
1999,MF,Govt,107463,5638
1999,F,Govt,49196,3513
1999,MF,Aided,28121,1541
1999,F,Aided,13804,1066
1999,MF,Auto,24836,971
1999,F,Auto,13949,697
1999,MF,Independent,11839,750
1999,F,Independent,5115,526
1999,MF,Specialised Independant,0,0
1999,F,Specialised Independant,0,0
1999,MF,Specialised,0,0
1999,F,Specialised,0,0
2000,MF,Govt,110154,5791
2000,F,Govt,50805,3650
2000,MF,Aided,27902,1559
2000,F,Aided,13659,1068
2000,MF,Auto,25262,1026
2000,F,Auto,14075,722
2000,MF,Independent,12087,756
2000,F,Independent,5315,545
2000,MF,Specialised Independant,0,0
2000,F,Specialised Independant,0,0
2000,MF,Specialised,0,0
2000,F,Specialised,0,0
2001,MF,Govt,117637,6002
2001,F,Govt,54644,3822
2001,MF,Aided,28299,1576
2001,F,Aided,13984,1059
2001,MF,Auto,28739,1211
2001,F,Auto,15754,829
2001,MF,Independent,12406,763
2001,F,Independent,5511,555
2001,MF,Specialised Independant,0,0
2001,F,Specialised Independant,0,0
2001,MF,Specialised,0,0
2001,F,Specialised,0,0
2002,MF,Govt,123681,6525
2002,F,Govt,57474,4193
2002,MF,Aided,25977,1516
2002,F,Aided,11579,992
2002,MF,Auto,31747,1368
2002,F,Auto,18594,965
2002,MF,Independent,12597,837
2002,F,Independent,5632,602
2002,MF,Specialised Independant,0,0
2002,F,Specialised Independant,0,0
2002,MF,Specialised,0,0
2002,F,Specialised,0,0
2003,MF,Govt,133363,6935
2003,F,Govt,62049,4517
2003,MF,Aided,26582,1368
2003,F,Aided,11347,902
2003,MF,Auto,33709,1676
2003,F,Auto,20293,1167
