year,level_1,level_2,level_3,level_4,value
2015,Caucasian,Males,Total,0 - 4,1116
2015,Caucasian,Males,Total,5-Sep,1415
2015,Caucasian,Males,Total,Oct-14,1082
2015,Caucasian,Males,Total,15 - 19,609
2015,Caucasian,Males,Total,20 - 24,441
2015,Caucasian,Males,Total,25 - 29,346
2015,Caucasian,Males,Total,30 - 34,808
2015,Caucasian,Males,Total,35 - 39,1571
2015,Caucasian,Males,Total,40 - 44,2485
2015,Caucasian,Males,Total,45 - 49,2573
2015,Caucasian,Males,Total,50 - 54,2021
2015,Caucasian,Males,Total,55 - 59,1260
2015,Caucasian,Males,Total,60 - 64,811
2015,Caucasian,Males,Total,65 - 69,587
2015,Caucasian,Males,Total,70 - 74,300
2015,Caucasian,Males,Total,75 - 79,147
2015,Caucasian,Males,Total,80 - 84,68
2015,Caucasian,Males,Total,85 & Over,63
2015,Caucasian,Females,Total,0 - 4,1295
2015,Caucasian,Females,Total,5-Sep,1824
2015,Caucasian,Females,Total,Oct-14,1439
2015,Caucasian,Females,Total,15 - 19,1047
2015,Caucasian,Females,Total,20 - 24,612
2015,Caucasian,Females,Total,25 - 29,399
2015,Caucasian,Females,Total,30 - 34,556
2015,Caucasian,Females,Total,35 - 39,772
2015,Caucasian,Females,Total,40 - 44,973
2015,Caucasian,Females,Total,45 - 49,886
2015,Caucasian,Females,Total,50 - 54,646
2015,Caucasian,Females,Total,55 - 59,457
2015,Caucasian,Females,Total,60 - 64,300
2015,Caucasian,Females,Total,65 - 69,173
2015,Caucasian,Females,Total,70 - 74,84
2015,Caucasian,Females,Total,75 - 79,59
2015,Caucasian,Females,Total,80 - 84,39
2015,Caucasian,Females,Total,85 & Over,26
2015,Eurasian,Total,Total,0 - 4,1675
2015,Eurasian,Total,Total,5-Sep,1155
2015,Eurasian,Total,Total,Oct-14,957
2015,Eurasian,Total,Total,15 - 19,1235
2015,Eurasian,Total,Total,20 - 24,1142
2015,Eurasian,Total,Total,25 - 29,1042
2015,Eurasian,Total,Total,30 - 34,889
2015,Eurasian,Total,Total,35 - 39,854
2015,Eurasian,Total,Total,40 - 44,927
2015,Eurasian,Total,Total,45 - 49,1052
2015,Eurasian,Total,Total,50 - 54,1268
2015,Eurasian,Total,Total,55 - 59,1217
2015,Eurasian,Total,Total,60 - 64,1060
2015,Eurasian,Total,Total,65 - 69,819
2015,Eurasian,Total,Total,70 - 74,395
2015,Eurasian,Total,Total,75 - 79,483
2015,Eurasian,Total,Total,80 - 84,364
2015,Eurasian,Total,Total,85 & Over,369
2015,Eurasian,Males,Total,0 - 4,767
2015,Eurasian,Males,Total,5-Sep,511
2015,Eurasian,Males,Total,Oct-14,447
2015,Eurasian,Males,Total,15 - 19,629
2015,Eurasian,Males,Total,20 - 24,547
2015,Eurasian,Males,Total,25 - 29,519
