year,sex,school_type,students_preu,teachers_preu
1999,MF,Specialised Indep,_,_
1999,F,Specialised Indep,_,_
2000,MF,Aided,8352,640
2000,F,Aided,4365,376
2000,MF,Auto,_,_
2000,F,Auto,_,_
2000,MF,Govt,16452,1245
2000,F,Govt,9141,730
2000,MF,Indep,_,_
2000,F,Indep,_,_
2000,MF,Specialised Indep,_,_
2000,F,Specialised Indep,_,_
2001,MF,Aided,7944,629
2001,F,Aided,4140,366
2001,MF,Auto,_,_
2001,F,Auto,_,_
2001,MF,Govt,16432,1261
2001,F,Govt,9030,714
2001,MF,Indep,_,_
2001,F,Indep,_,_
2001,MF,Specialised Indep,_,_
2001,F,Specialised Indep,_,_
2002,MF,Aided,8190,646
2002,F,Aided,4289,382
2002,MF,Auto,_,_
2002,F,Auto,_,_
2002,MF,Govt,17186,1370
2002,F,Govt,9451,773
2002,MF,Indep,_,_
2002,F,Indep,_,_
2002,MF,Specialised Indep,_,_
2002,F,Specialised Indep,_,_
2003,MF,Aided,7738,645
2003,F,Aided,4055,382
2003,MF,Auto,_,_
2003,F,Auto,_,_
2003,MF,Govt,16821,1414
2003,F,Govt,9151,798
2003,MF,Indep,_,_
2003,F,Indep,_,_
2003,MF,Specialised Indep,_,_
2003,F,Specialised Indep,_,_
2004,MF,Aided,5929,535
2004,F,Aided,3143,329
2004,MF,Auto,_,_
2004,F,Auto,_,_
2004,MF,Govt,17040,1602
2004,F,Govt,9110,923
2004,MF,Indep,1712,130
2004,F,Indep,917,77
2004,MF,Specialised Indep,_,_
2004,F,Specialised Indep,_,_
2005,MF,Aided,6883,581
2005,F,Aided,3706,344
2005,MF,Auto,_,_
2005,F,Auto,_,_
2005,MF,Govt,18160,1644
2005,F,Govt,9872,947
2005,MF,Indep,3858,319
2005,F,Indep,1964,178
2005,MF,Specialised Indep,_,_
2005,F,Specialised Indep,_,_
2006,MF,Aided,7067,586
2006,F,Aided,3794,349
2006,MF,Auto,_,_
2006,F,Auto,_,_
2006,MF,Govt,18933,1597
2006,F,Govt,10428,926
2006,MF,Indep,4726,352
2006,F,Indep,2312,202
2006,MF,Specialised Indep,_,_
2006,F,Specialised Indep,_,_
2007,MF,Aided,6949,576
2007,F,Aided,3888,349
2007,MF,Auto,128,_
2007,F,Auto,93,_
2007,MF,Govt,19095,1665
2007,F,Govt,10608,963
2007,MF,Indep,5455,475
2007,F,Indep,2557,248
2007,MF,Specialised Indep,_,_
2007,F,Specialised Indep,_,_
2008,MF,Aided,6947,564
2008,F,Aided,3864,330
2008,MF,Auto,_,_
2008,F,Auto,_,_
2008,MF,Govt,19845,1658
2008,F,Govt,11162,962
2008,MF,Indep,5611,506
2008,F,Indep,2639,272
2008,MF,Specialised Indep,176,_
2008,F,Specialised Indep,84,_
2009,MF,Aided,6712,570
2009,F,Aided,3653,331
2009,MF,Auto,_,_
2009,F,Auto,_,_
2009,MF,Govt,19478,1707
2009,F,Govt,11152,1002
2009,MF,Indep,5657,520
2009,F,Indep,2668,286
2009,MF,Specialised Indep,263,_
2009,F,Specialised Indep,96,_
2010,MF,Aided,6877,600
2010,F,Aided,3816,348
2010,MF,Auto,_,_
2010,F,Auto,_,_
2010,MF,Govt,19440,1714
2010,F,Govt,11100,995
2010,MF,Indep,5717,523
2010,F,Indep,2717,284
2010,MF,Specialised Indep,386,_
2010,F,Specialised Indep,136,_
2011,MF,Aided,6821,616
2011,F,Aided,3742,355
2011,MF,Auto,_,_
2011,F,Auto,_,_
2011,MF,Govt,19138,1730
2011,F,Govt,10802,1005
2011,MF,Indep,5824,523
2011,F,Indep,2782,288
2011,MF,Specialised Indep,513,_
2011,F,Specialised Indep,239,_
2012,MF,Aided,6618,618
2012,F,Aided,3536,359
2012,MF,Auto,_,_
2012,F,Auto,_,_
2012,MF,Govt,19035,1756
2012,F,Govt,10834,1033
2012,MF,Indep,5811,534
2012,F,Indep,2809,300
2012,MF,Specialised Indep,623,_
2012,F,Specialised Indep,332,_
2013,MF,Aided,6545,638
2013,F,Aided,3456,368
2013,MF,Auto,_,_
2013,F,Auto,_,_
2013,MF,Govt,19109,1813
2013,F,Govt,10797,1074
